source_file_token,view,slice_id,frame_index,qc_valid,qc_reason,qc_ncc,qc_intensity_scale,qc_residual,rescale_status
,2CH,2ch_s12_7201,0,1,valid,0.9429766416077613,1.0532544378698225,0.1693977049286656,identity_without_rescale_tags
,2CH,2ch_s12_7201,1,1,valid,0.9566229111438393,1.035598705501618,0.13971532126782626,identity_without_rescale_tags
,2CH,2ch_s12_7201,2,1,valid,0.963099811416315,1.0186335403726707,0.13037933034378238,identity_without_rescale_tags
,2CH,2ch_s12_7201,3,1,valid,0.969467315699188,1.0186915887850467,0.11798284337898902,identity_without_rescale_tags
,2CH,2ch_s12_7201,4,1,valid,0.9528739289122924,1.0116279069767442,0.13816988511384176,identity_without_rescale_tags
,2CH,2ch_s12_7201,5,1,valid,0.9377079680831791,1.0135135135135136,0.1566902146210171,identity_without_rescale_tags
,2CH,2ch_s12_7201,6,1,valid,0.9335954797768232,1.0056179775280898,0.16719797115535154,identity_without_rescale_tags
,2CH,2ch_s12_7201,7,1,valid,0.9293381941087508,1.0034246575342465,0.170335276066774,identity_without_rescale_tags
,2CH,2ch_s12_7201,8,1,valid,0.927371012526008,1.0031645569620253,0.1734133787063766,identity_without_rescale_tags
,2CH,2ch_s12_7201,9,1,valid,0.9338763189439047,1.007843137254902,0.16746661571799062,identity_without_rescale_tags
,2CH,2ch_s12_7201,10,1,valid,0.9564957334642105,1.0012019230769231,0.14605821212548983,identity_without_rescale_tags
,2CH,2ch_s12_7201,11,1,valid,0.9616922357313578,1.0065359477124183,0.13646838222581975,identity_without_rescale_tags
,2CH,2ch_s12_7201,12,1,valid,0.9524775165742048,1.001,0.15555502720224978,identity_without_rescale_tags
,2CH,2ch_s12_7201,13,1,valid,0.9382875154890992,1.0035714285714286,0.17930150798881858,identity_without_rescale_tags
,2CH,2ch_s12_7201,14,1,valid,0.9328885104348826,1.0,0.1839071039810042,identity_without_rescale_tags
,2CH,2ch_s12_7201,15,1,valid,0.912446951794748,1.001751313485114,0.2071092343461621,identity_without_rescale_tags
,2CH,2ch_s12_7201,16,1,valid,0.8993241544647415,1.0,0.20419144466015834,identity_without_rescale_tags
,2CH,2ch_s12_7201,17,1,valid,0.9172306178031051,1.0,0.19643140309987026,identity_without_rescale_tags
,2CH,2ch_s12_7201,18,1,valid,0.933389379907106,0.9926900584795322,0.1736935120303961,identity_without_rescale_tags
,2CH,2ch_s12_7201,19,1,valid,0.928532817604027,1.0,0.17436383998918045,identity_without_rescale_tags
,2CH,2ch_s12_7201,20,1,valid,0.9357450584420379,0.9962825278810409,0.15520574161327405,identity_without_rescale_tags
,2CH,2ch_s12_7201,21,1,valid,0.954692068009362,0.9939312204989885,0.13863384896443448,identity_without_rescale_tags
,2CH,2ch_s12_7201,22,1,valid,0.9650282697593004,0.9927007299270073,0.11795961096790163,identity_without_rescale_tags
,2CH,2ch_s12_7201,23,1,valid,0.9590789997826022,0.9919427036705462,0.11863745318085175,identity_without_rescale_tags
,2CH,2ch_s12_7201,24,1,valid,0.956790509880085,0.9977553310886644,0.12265418481792079,identity_without_rescale_tags
,2CH,2ch_s12_7201,25,1,valid,0.963822965257748,0.9956458635703919,0.11470712403738596,identity_without_rescale_tags
,2CH,2ch_s12_7201,26,1,valid,0.9637708914006896,0.9977827050997783,0.1138562058824995,identity_without_rescale_tags
,2CH,2ch_s12_7201,27,1,valid,0.9512084130153073,0.9957805907172996,0.13422115010591099,identity_without_rescale_tags
,2CH,2ch_s12_7201,28,1,valid,0.9405219957764052,1.0,0.15498604492089804,identity_without_rescale_tags
,2CH,2ch_s12_7201,29,1,valid,0.9506721621510287,1.0,0.14402252923071587,identity_without_rescale_tags
,2CH,2ch_s12_7201,30,1,valid,0.95940271532848,1.0,0.12976584027979823,identity_without_rescale_tags
,2CH,2ch_s12_7201,31,1,valid,0.9587506482209637,0.9992565055762082,0.13244470395827088,identity_without_rescale_tags
,2CH,2ch_s12_7201,32,1,valid,0.9578203173229425,1.0,0.14367458565286056,identity_without_rescale_tags
,2CH,2ch_s12_7201,33,1,valid,0.9540280124043655,1.0,0.153338623448568,identity_without_rescale_tags
,2CH,2ch_s12_7201,34,1,valid,0.9341739504632139,1.0,0.1783027171276687,identity_without_rescale_tags
,2CH,2ch_s12_7201,35,1,valid,0.9282028983919538,1.0,0.18318932541383698,identity_without_rescale_tags
,2CH,2ch_s12_7201,36,1,valid,0.9304056854737126,1.0,0.18246069390115943,identity_without_rescale_tags
,2CH,2ch_s12_7201,37,1,valid,0.9445671009718858,0.9927536231884058,0.15834718433817901,identity_without_rescale_tags
,2CH,2ch_s12_7201,38,1,valid,0.9408047585048986,0.9910979228486647,0.16010208338647086,identity_without_rescale_tags
,2CH,2ch_s12_7201,39,1,valid,0.9542856039141562,0.9931869795609387,0.13682257726059932,identity_without_rescale_tags
,2CH,2ch_s12_7201,40,1,valid,0.9621828842562429,0.9943074003795066,0.12479532435762311,identity_without_rescale_tags
,2CH,2ch_s12_7201,41,1,valid,0.9771461679678637,0.992638036809816,0.0972889049444787,identity_without_rescale_tags
,2CH,2ch_s12_7201,42,1,valid,0.9598598915338881,0.9977553310886644,0.11756639631358355,identity_without_rescale_tags
,2CH,2ch_s12_7201,43,1,valid,0.9596952205304687,0.9962121212121212,0.12659001504348713,identity_without_rescale_tags
,2CH,2ch_s12_7201,44,1,valid,0.9504799232712121,0.9978213507625272,0.14282881378239456,identity_without_rescale_tags
,2CH,2ch_s12_7201,45,1,valid,0.9494420225030908,0.9971153846153846,0.14255612212311514,identity_without_rescale_tags
,2CH,2ch_s12_7201,46,1,valid,0.9253389293390752,1.0,0.17193704716490685,identity_without_rescale_tags
,2CH,2ch_s12_7201,47,1,valid,0.9141076185872049,1.0,0.19129907299612306,identity_without_rescale_tags
,2CH,2ch_s12_7201,48,1,valid,0.9097513682380136,1.0,0.1986249039757818,identity_without_rescale_tags
,2CH,2ch_s12_7201,49,1,valid,0.9226054163663844,0.9984152139461173,0.1831165509001109,identity_without_rescale_tags
,2CH,2ch_s13_7301,0,1,valid,0.9459460690690711,1.051975051975052,0.1632188206128336,identity_without_rescale_tags
,2CH,2ch_s13_7301,1,1,valid,0.9496323294529735,1.0387374461979915,0.1527690112406655,identity_without_rescale_tags
,2CH,2ch_s13_7301,2,1,valid,0.9603882824720931,1.0198198198198198,0.1413479168074308,identity_without_rescale_tags
,2CH,2ch_s13_7301,3,1,valid,0.9621332584471083,1.0106382978723405,0.1334825006425648,identity_without_rescale_tags
,2CH,2ch_s13_7301,4,1,valid,0.9541110684887105,1.0062992125984251,0.14175445281293947,identity_without_rescale_tags
,2CH,2ch_s13_7301,5,1,valid,0.9405850241906462,1.024390243902439,0.16212489830272234,identity_without_rescale_tags
,2CH,2ch_s13_7301,6,1,valid,0.9486800908309745,1.0036297640653358,0.1538778645833217,identity_without_rescale_tags
,2CH,2ch_s13_7301,7,1,valid,0.9371829412700645,1.0,0.16300166368466024,identity_without_rescale_tags
,2CH,2ch_s13_7301,8,1,valid,0.9348561958250399,1.0014197823000472,0.16874948749029914,identity_without_rescale_tags
,2CH,2ch_s13_7301,9,1,valid,0.9471577134446127,1.0,0.15577634961130243,identity_without_rescale_tags
,2CH,2ch_s13_7301,10,1,valid,0.9649618760506692,1.0,0.12590704045096565,identity_without_rescale_tags
,2CH,2ch_s13_7301,11,1,valid,0.9577498475645246,1.0,0.13824161499876564,identity_without_rescale_tags
,2CH,2ch_s13_7301,12,1,valid,0.9527254275130431,1.0,0.14688457390446785,identity_without_rescale_tags
,2CH,2ch_s13_7301,13,1,valid,0.9509117977163547,1.0,0.15738440224123956,identity_without_rescale_tags
,2CH,2ch_s13_7301,14,1,valid,0.9473269651856178,1.0,0.15973909040612216,identity_without_rescale_tags
,2CH,2ch_s13_7301,15,1,valid,0.9442041641709396,0.99,0.16207557770877065,identity_without_rescale_tags
,2CH,2ch_s13_7301,16,1,valid,0.9469365533248683,1.0,0.160227559996738,identity_without_rescale_tags
,2CH,2ch_s13_7301,17,1,valid,0.9516751357302199,0.9963530269876003,0.1465462727664778,identity_without_rescale_tags
,2CH,2ch_s13_7301,18,1,valid,0.9456449154935809,0.9918918918918919,0.15361892642576735,identity_without_rescale_tags
,2CH,2ch_s13_7301,19,1,valid,0.9557360915572171,0.9943502824858758,0.13835582328214185,identity_without_rescale_tags
,2CH,2ch_s13_7301,20,1,valid,0.9598587987289116,0.9955156950672646,0.1314916920562285,identity_without_rescale_tags
,2CH,2ch_s13_7301,21,1,valid,0.9721910769859562,0.9938080495356038,0.107279136053489,identity_without_rescale_tags
,2CH,2ch_s13_7301,22,1,valid,0.9618592078315022,0.9921875,0.11978490049350189,identity_without_rescale_tags
,2CH,2ch_s13_7301,23,1,valid,0.9614754874398455,1.0,0.12549688150534904,identity_without_rescale_tags
,2CH,2ch_s13_7301,24,1,valid,0.9593031038501786,1.0,0.13568152338086495,identity_without_rescale_tags
,2CH,2ch_s13_7301,25,1,valid,0.962879302402209,0.9969325153374233,0.12847637041795232,identity_without_rescale_tags
,2CH,2ch_s13_7301,26,1,valid,0.9485217898187602,0.998805256869773,0.14790532094560035,identity_without_rescale_tags
,2CH,2ch_s13_7301,27,1,valid,0.9283368105235,1.0,0.17711720372866047,identity_without_rescale_tags
,2CH,2ch_s13_7301,28,1,valid,0.9282592281586687,1.0,0.18223072222871728,identity_without_rescale_tags
,2CH,2ch_s13_7301,29,1,valid,0.9151819139053684,1.0,0.19278146174131586,identity_without_rescale_tags
,2CH,2ch_s13_7301,30,1,valid,0.89572915001092,1.0,0.2155207070099783,identity_without_rescale_tags
,2CH,2ch_s13_7301,31,1,valid,0.8770482527848616,1.0,0.23823727366395422,identity_without_rescale_tags
,2CH,2ch_s13_7301,32,1,valid,0.8922872232545245,1.0,0.22482217883355832,identity_without_rescale_tags
,2CH,2ch_s13_7301,33,1,valid,0.9115563296792547,1.0,0.20219549354636052,identity_without_rescale_tags
,2CH,2ch_s13_7301,34,1,valid,0.9221346543919746,1.0,0.18976353980406974,identity_without_rescale_tags
,2CH,2ch_s13_7301,35,1,valid,0.9330416341963147,1.001001001001001,0.17951641825252662,identity_without_rescale_tags
,2CH,2ch_s13_7301,36,1,valid,0.9499400245118242,1.0,0.15749085288160494,identity_without_rescale_tags
,2CH,2ch_s13_7301,37,1,valid,0.9536901494128337,1.0,0.15329956719020943,identity_without_rescale_tags
,2CH,2ch_s13_7301,38,1,valid,0.9436530428640231,1.0,0.16726848304782807,identity_without_rescale_tags
,2CH,2ch_s13_7301,39,1,valid,0.9354277164123298,1.0014430014430014,0.18121813215315913,identity_without_rescale_tags
,2CH,2ch_s13_7301,40,1,valid,0.9271982211647148,1.0,0.18880039292319847,identity_without_rescale_tags
,2CH,2ch_s13_7301,41,1,valid,0.9061757638248624,1.0,0.21620374985802723,identity_without_rescale_tags
,2CH,2ch_s13_7301,42,1,valid,0.8884394812227252,1.0074074074074073,0.23550406703247467,identity_without_rescale_tags
,2CH,2ch_s13_7301,43,1,valid,0.8830636166098448,1.0,0.2452841209245951,identity_without_rescale_tags
,2CH,2ch_s13_7301,44,1,valid,0.8955909089073562,0.9929859719438878,0.22547058825789293,identity_without_rescale_tags
,2CH,2ch_s13_7301,45,1,valid,0.8901131382915416,0.9882352941176471,0.23072813529522876,identity_without_rescale_tags
,2CH,2ch_s13_7301,46,1,valid,0.8781988850034852,1.0,0.2312630905360845,identity_without_rescale_tags
,2CH,2ch_s13_7301,47,1,valid,0.905254638605347,0.9966777408637874,0.21191154525693437,identity_without_rescale_tags
,2CH,2ch_s13_7301,48,1,valid,0.9225215935489479,0.9911032028469751,0.18854466991761423,identity_without_rescale_tags
